type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
zeta,zeta_42_0036,42036,raw,0.628433,0.224988,3.591588,0.065389,0.402701,0.337312,GUE,0.0,none
zeta,zeta_42_0036,42036,soft,0.618512,0.185479,3.466614,0.108543,0.437186,0.328643,GUE,0.105528,minimal
zeta,zeta_42_0036,42036,mid,0.618512,0.185479,3.466614,0.108543,0.437186,0.328643,GUE,0.105528,minimal
zeta,zeta_42_0036,42036,strong,0.622859,0.146572,3.231123,0.169158,0.492023,0.322864,GUE,0.175879,minimal
zeta,zeta_42_0037,42037,raw,0.593564,0.225485,3.672333,0.041206,0.354899,0.313693,GUE,0.0,none
zeta,zeta_42_0037,42037,soft,0.582382,0.189402,3.454293,0.121608,0.42701,0.305402,GUE,0.100503,minimal
zeta,zeta_42_0037,42037,mid,0.582382,0.189402,3.454293,0.121608,0.42701,0.305402,GUE,0.100503,minimal
zeta,zeta_42_0037,42037,strong,0.5877,0.15353,3.290625,0.170289,0.450188,0.279899,GUE,0.180905,minimal
zeta,zeta_42_0038,42038,raw,0.610234,0.224996,3.601325,0.042714,0.374246,0.331533,GUE,0.0,none
zeta,zeta_42_0038,42038,soft,0.600542,0.189915,3.410676,0.103957,0.424183,0.320226,GUE,0.105528,minimal
zeta,zeta_42_0038,42038,mid,0.600542,0.189915,3.410676,0.103957,0.424183,0.320226,GUE,0.105528,minimal
zeta,zeta_42_0038,42038,strong,0.603905,0.148608,3.245297,0.166206,0.490955,0.324749,GUE,0.180905,minimal
zeta,zeta_42_0039,42039,raw,0.615136,0.22688,3.643627,0.047425,0.386621,0.339196,GUE,0.0,none
zeta,zeta_42_0039,42039,soft,0.603854,0.190552,3.3822,0.090138,0.426822,0.336683,GUE,0.105528,minimal
zeta,zeta_42_0039,42039,mid,0.603854,0.190552,3.3822,0.090138,0.426822,0.336683,GUE,0.105528,minimal
zeta,zeta_42_0039,42039,strong,0.611092,0.159662,3.314681,0.14554,0.488317,0.342776,GUE,0.125628,minimal
zeta,zeta_42_0040,42040,raw,0.61235,0.221805,3.621066,0.059359,0.39353,0.334171,GUE,0.0,none
zeta,zeta_42_0040,42040,soft,0.600584,0.174326,3.375228,0.125377,0.44799,0.322613,GUE,0.100503,minimal
zeta,zeta_42_0040,42040,mid,0.600584,0.174326,3.375228,0.125377,0.44799,0.322613,GUE,0.100503,minimal
zeta,zeta_42_0040,42040,strong,0.608783,0.1479,3.273989,0.162626,0.495163,0.332538,GUE,0.175879,minimal
zeta,zeta_42_0041,42041,raw,0.61827,0.223572,3.658749,0.078706,0.377136,0.29843,GUE,0.0,none
zeta,zeta_42_0041,42041,soft,0.613881,0.195059,3.477522,0.096168,0.410616,0.314447,GUE,0.080402,minimal
zeta,zeta_42_0041,42041,mid,0.613881,0.195059,3.477522,0.096168,0.410616,0.314447,GUE,0.080402,minimal
zeta,zeta_42_0041,42041,strong,0.618411,0.158819,3.261346,0.155214,0.475628,0.320415,GUE,0.160804,minimal
zeta,zeta_42_0042,42042,raw,0.611751,0.215048,3.644313,0.049686,0.384673,0.334987,GUE,0.0,none
zeta,zeta_42_0042,42042,soft,0.601663,0.179716,3.412064,0.122927,0.427513,0.304585,GUE,0.105528,minimal
zeta,zeta_42_0042,42042,mid,0.601663,0.179716,3.412064,0.122927,0.427513,0.304585,GUE,0.105528,minimal
zeta,zeta_42_0042,42042,strong,0.606692,0.148737,3.28555,0.161997,0.498681,0.336683,GUE,0.155779,minimal
zeta,zeta_42_0043,42043,raw,0.60886,0.210758,3.565845,0.062123,0.403643,0.34152,GUE,0.0,none
zeta,zeta_42_0043,42043,soft,0.594741,0.172923,3.337168,0.134736,0.434171,0.299435,GUE,0.115578,minimal
zeta,zeta_42_0043,42043,mid,0.594741,0.172923,3.337168,0.134736,0.434171,0.299435,GUE,0.115578,minimal
zeta,zeta_42_0043,42043,strong,0.603892,0.140429,3.240809,0.165075,0.49441,0.329334,GUE,0.150754,minimal
zeta,zeta_42_0044,42044,raw,0.612683,0.219302,3.606222,0.053518,0.39598,0.342462,GUE,0.0,none
zeta,zeta_42_0044,42044,soft,0.597028,0.180723,3.431982,0.112688,0.45358,0.340892,GUE,0.095477,minimal
zeta,zeta_42_0044,42044,mid,0.597028,0.180723,3.431982,0.112688,0.45358,0.340892,GUE,0.095477,minimal
zeta,zeta_42_0044,42044,strong,0.601971,0.145054,3.249146,0.174497,0.512751,0.338254,GUE,0.155779,minimal
zeta,zeta_42_0045,42045,raw,0.621049,0.222585,3.590435,0.063945,0.385678,0.321734,GUE,0.0,none
zeta,zeta_42_0045,42045,soft,0.610599,0.184941,3.338972,0.105151,0.430905,0.325754,GUE,0.110553,minimal
zeta,zeta_42_0045,42045,mid,0.610599,0.184941,3.338972,0.105151,0.430905,0.325754,GUE,0.110553,minimal
zeta,zeta_42_0045,42045,strong,0.614018,0.158997,3.381662,0.143844,0.461872,0.318028,GUE,0.160804,minimal
zeta,zeta_42_0046,42046,raw,0.614388,0.218934,3.627573,0.067714,0.384548,0.316834,GUE,0.0,none
zeta,zeta_42_0046,42046,soft,0.613793,0.181476,3.386417,0.13304,0.442085,0.309045,GUE,0.085427,minimal
zeta,zeta_42_0046,42046,mid,0.613793,0.181476,3.386417,0.13304,0.442085,0.309045,GUE,0.085427,minimal
zeta,zeta_42_0046,42046,strong,0.615083,0.147751,3.269548,0.170038,0.488568,0.31853,GUE,0.160804,minimal
zeta,zeta_42_0047,42047,raw,0.613511,0.227229,3.684112,0.051193,0.386181,0.334987,GUE,0.0,none
zeta,zeta_42_0047,42047,soft,0.597356,0.186264,3.448555,0.126319,0.413065,0.286746,GUE,0.145729,minimal
zeta,zeta_42_0047,42047,mid,0.597356,0.186264,3.448555,0.126319,0.413065,0.286746,GUE,0.145729,minimal
zeta,zeta_42_0047,42047,strong,0.605972,0.151989,3.243668,0.173367,0.475126,0.301759,GUE,0.19598,minimal
zeta,zeta_42_0048,42048,raw,0.607342,0.225466,3.628052,0.059296,0.377827,0.31853,GUE,0.0,none
zeta,zeta_42_0048,42048,soft,0.593169,0.192293,3.432869,0.126633,0.409359,0.282726,GUE,0.100503,minimal
zeta,zeta_42_0048,42048,mid,0.593169,0.192293,3.432869,0.126633,0.409359,0.282726,GUE,0.100503,minimal
zeta,zeta_42_0048,42048,strong,0.603271,0.155308,3.297667,0.173367,0.470603,0.297236,GUE,0.175879,minimal
zeta,zeta_42_0049,42049,raw,0.611152,0.226487,3.688232,0.054648,0.378141,0.323492,GUE,0.0,none
zeta,zeta_42_0049,42049,soft,0.596835,0.188108,3.458402,0.129585,0.428769,0.299183,GUE,0.130653,minimal
zeta,zeta_42_0049,42049,mid,0.596835,0.188108,3.458402,0.129585,0.428769,0.299183,GUE,0.130653,minimal
zeta,zeta_42_0049,42049,strong,0.605912,0.152699,3.293809,0.16495,0.495038,0.330088,GUE,0.175879,minimal
zeta,zeta_42_0050,42050,raw,0.608289,0.216424,3.629328,0.065766,0.397487,0.331721,GUE,0.0,none
zeta,zeta_42_0050,42050,soft,0.601616,0.173315,3.389059,0.122111,0.454209,0.332098,GUE,0.110553,minimal
zeta,zeta_42_0050,42050,mid,0.601616,0.173315,3.389059,0.122111,0.454209,0.332098,GUE,0.110553,minimal
zeta,zeta_42_0050,42050,strong,0.602559,0.141921,3.239977,0.16809,0.486935,0.318844,GUE,0.170854,minimal
zeta,zeta_42_0051,42051,raw,0.623069,0.242139,3.635359,0.081595,0.380842,0.299246,GUE,0.0,none
zeta,zeta_42_0051,42051,soft,0.602808,0.20206,3.466201,0.086118,0.423116,0.336997,GUE,0.120603,minimal
zeta,zeta_42_0051,42051,mid,0.602808,0.20206,3.466201,0.086118,0.423116,0.336997,GUE,0.120603,minimal
zeta,zeta_42_0051,42051,strong,0.614009,0.16548,3.36308,0.139322,0.475879,0.336558,GUE,0.180905,minimal
zeta,zeta_42_0052,42052,raw,0.616547,0.226586,3.617389,0.063693,0.381595,0.317902,GUE,0.0,none
zeta,zeta_42_0052,42052,soft,0.603023,0.190162,3.450604,0.098618,0.420729,0.322111,GUE,0.090452,minimal
zeta,zeta_42_0052,42052,mid,0.603023,0.190162,3.450604,0.098618,0.420729,0.322111,GUE,0.090452,minimal
zeta,zeta_42_0052,42052,strong,0.609327,0.153854,3.279223,0.158857,0.471106,0.312249,GUE,0.160804,minimal
zeta,zeta_42_0053,42053,raw,0.625863,0.240601,3.643702,0.088442,0.372927,0.284485,GUE,0.0,none
zeta,zeta_42_0053,42053,soft,0.613796,0.20715,3.486223,0.079711,0.40892,0.329209,GUE,0.085427,minimal
zeta,zeta_42_0053,42053,mid,0.613796,0.20715,3.486223,0.079711,0.40892,0.329209,GUE,0.085427,minimal
zeta,zeta_42_0053,42053,strong,0.615915,0.177027,3.416301,0.13549,0.473744,0.338254,GUE,0.150754,minimal
zeta,zeta_42_0054,42054,raw,0.603413,0.222077,3.602298,0.052073,0.390766,0.338693,GUE,0.0,none
zeta,zeta_42_0054,42054,soft,0.591552,0.176236,3.358522,0.118467,0.440201,0.321734,GUE,0.110553,minimal
zeta,zeta_42_0054,42054,mid,0.591552,0.176236,3.358522,0.118467,0.440201,0.321734,GUE,0.110553,minimal
zeta,zeta_42_0054,42054,strong,0.596026,0.14177,3.253891,0.17456,0.486432,0.311872,GUE,0.180905,minimal
zeta,zeta_42_0055,42055,raw,0.617222,0.23433,3.678952,0.066709,0.370101,0.303392,GUE,0.0,none
zeta,zeta_42_0055,42055,soft,0.601265,0.197775,3.466134,0.089384,0.410427,0.321043,GUE,0.095477,minimal
zeta,zeta_42_0055,42055,mid,0.601265,0.197775,3.466134,0.089384,0.410427,0.321043,GUE,0.095477,minimal
zeta,zeta_42_0055,42055,strong,0.609775,0.158603,3.337442,0.135867,0.479271,0.343405,GUE,0.145729,minimal
