type,block_id,seed,intensity,r_mean,r_std,r_entropy,ks_gue,ks_poi,ks_margin,vote,reducer_ks,reducer_mode
gue,gue_80000_0007,80000007,mid,0.5909,0.200851,3.490693,0.07902,0.41495,0.33593,GUE,0.075377,minimal
gue,gue_80000_0007,80000007,strong,0.597386,0.170078,3.343752,0.125188,0.463065,0.337877,GUE,0.130653,minimal
gue,gue_80000_0008,80000008,raw,0.594163,0.236466,3.642097,0.062186,0.332538,0.270352,GUE,0.0,none
gue,gue_80000_0008,80000008,soft,0.584389,0.203897,3.451758,0.094849,0.37054,0.275691,GUE,0.080402,minimal
gue,gue_80000_0008,80000008,mid,0.584389,0.203897,3.451758,0.094849,0.37054,0.275691,GUE,0.080402,minimal
gue,gue_80000_0008,80000008,strong,0.589027,0.173249,3.394663,0.14554,0.42098,0.27544,GUE,0.155779,minimal
gue,gue_80000_0009,80000009,raw,0.609986,0.230969,3.659782,0.04799,0.375817,0.327827,GUE,0.0,none
gue,gue_80000_0009,80000009,soft,0.598726,0.197049,3.508492,0.08593,0.415327,0.329397,GUE,0.085427,minimal
gue,gue_80000_0009,80000009,mid,0.598726,0.197049,3.508492,0.08593,0.415327,0.329397,GUE,0.085427,minimal
gue,gue_80000_0009,80000009,strong,0.604023,0.171241,3.418307,0.130905,0.452575,0.321671,GUE,0.150754,minimal
gue,gue_80000_0010,80000010,raw,0.586519,0.243245,3.687234,0.06206,0.338254,0.276193,GUE,0.0,none
gue,gue_80000_0010,80000010,soft,0.57405,0.197262,3.441674,0.148116,0.38348,0.235364,GUE,0.130653,minimal
gue,gue_80000_0010,80000010,mid,0.57405,0.197262,3.441674,0.148116,0.38348,0.235364,GUE,0.130653,minimal
gue,gue_80000_0010,80000010,strong,0.579711,0.163943,3.324643,0.162437,0.413128,0.250691,GUE,0.180905,minimal
gue,gue_80000_0011,80000011,raw,0.614076,0.239107,3.645867,0.065138,0.365075,0.299937,GUE,0.0,none
gue,gue_80000_0011,80000011,soft,0.592387,0.197483,3.38207,0.138568,0.402952,0.264384,GUE,0.145729,minimal
gue,gue_80000_0011,80000011,mid,0.592387,0.197483,3.38207,0.138568,0.402952,0.264384,GUE,0.145729,minimal
gue,gue_80000_0011,80000011,strong,0.604404,0.162699,3.346157,0.148807,0.473367,0.32456,GUE,0.160804,minimal
gue,gue_80000_0012,80000012,raw,0.623561,0.23368,3.66375,0.076256,0.376884,0.300628,GUE,0.0,none
gue,gue_80000_0012,80000012,soft,0.614869,0.203633,3.479444,0.083982,0.417085,0.333103,GUE,0.095477,minimal
gue,gue_80000_0012,80000012,mid,0.614869,0.203633,3.479444,0.083982,0.417085,0.333103,GUE,0.095477,minimal
gue,gue_80000_0012,80000012,strong,0.617119,0.168689,3.378528,0.117651,0.452889,0.335239,GUE,0.150754,minimal
gue,gue_80000_0013,80000013,raw,0.57689,0.233731,3.686201,0.055716,0.34108,0.285364,GUE,0.0,none
gue,gue_80000_0013,80000013,soft,0.559302,0.197799,3.512177,0.131156,0.370101,0.238945,GUE,0.100503,minimal
